충북_합계,충북_종합소매,충북_ 백화점,충북_ 대형마트/유통전문점,충북_ 슈퍼마켓,충북_ 편의점,충북_ 면세점,충북_전자상거래/통신판매,충북_식료품,충북_ 일반식료품,충북_ 건강보조식품,충북_의류/잡화,충북_ 의복/직물,충북_ 복식잡화,충북_ 시계/귀금속/안경,충북_ 화장품,충북_연료,충북_가구/가전,충북_ 가구,충북_ 가전제품/정보통신기기,충북_의료/보건,충북_ 종합병원,충북_ 일반병의원/기타의료기관,충북_자동차,충북_ 국산자동차신품,충북_ 기타운송수단,충북_ 자동차 부품 및 정비,충북_여행/교통,충북_ 여행사/자동차임대,충북_ 항공사,충북_ 대중교통,충북_오락/문화,충북_ 스포츠/오락/여가,충북_ 서적/문구,충북_교육,충북_숙박/음식,충북_ 숙박,충북_ 음식점,충북_공과금/개인 및 전문 서비스,충북_금융/보험,충북_기타,충남_합계,충남_종합소매,충남_ 백화점,충남_ 대형마트/유통전문점,충남_ 슈퍼마켓,충남_ 편의점,충남_ 면세점,충남_전자상거래/통신판매,충남_식료품,충남_ 일반식료품,충남_ 건강보조식품,충남_의류/잡화,충남_ 의복/직물,충남_ 복식잡화,충남_ 시계/귀금속/안경,충남_ 화장품,충남_연료,충남_가구/가전,충남_ 가구,충남_ 가전제품/정보통신기기,충남_의료/보건,충남_ 종합병원,충남_ 일반병의원/기타의료기관,충남_자동차,충남_ 국산자동차신품,충남_ 기타운송수단,충남_ 자동차 부품 및 정비,충남_여행/교통,충남_ 여행사/자동차임대,충남_ 항공사,충남_ 대중교통,충남_오락/문화,충남_ 스포츠/오락/여가,충남_ 서적/문구,충남_교육,충남_숙박/음식,충남_ 숙박,충남_ 음식점,충남_공과금/개인 및 전문 서비스,충남_금융/보험,충남_기타
5587.26,1000.58,93.53,558.22,291.06,57.51,0.27,10.31,145.83,127.3,18.53,270.18,156.61,26.77,35.55,51.25,1234.63,227.66,23.25,204.4,451.52,94.98,356.53,196.67,1.26,13.0,182.41,4.77,2.82,0.0,1.95,363.21,323.87,39.34,155.14,912.71,41.07,871.64,235.03,0.6,378.43,8312.17,1634.68,85.6,979.24,461.05,108.78,0.0,21.48,269.96,234.13,35.83,416.11,202.69,23.27,52.25,137.91,1739.85,307.15,27.92,279.23,589.32,131.89,457.44,298.59,0.21,16.15,282.24,7.35,1.85,0.14,5.37,379.91,336.0,43.91,277.16,1475.94,101.28,1374.66,183.19,1.44,710.04
5667.91,1029.34,88.3,573.43,310.02,57.17,0.42,9.12,166.46,145.47,20.99,236.5,127.4,23.22,36.29,49.59,1279.93,186.0,24.96,161.05,452.38,93.91,358.47,189.23,0.78,11.28,177.17,6.19,2.47,0.0,3.72,340.67,302.14,38.52,170.79,987.85,62.84,925.0,233.09,0.68,379.68,8659.15,1707.46,79.82,1019.17,498.48,109.98,0.0,20.49,345.72,297.76,47.95,373.08,165.18,20.02,50.39,137.49,1794.37,263.16,33.43,229.73,591.13,124.94,466.2,290.81,0.26,17.04,273.51,9.41,2.38,0.19,6.85,376.0,333.74,42.26,313.41,1643.12,141.31,1501.81,222.02,0.83,708.14
5310.5,1076.63,114.66,598.16,301.49,61.94,0.4,7.84,192.25,167.85,24.4,281.17,176.96,25.59,31.74,46.89,1185.65,174.23,23.68,150.55,406.2,80.47,325.73,171.32,0.94,11.05,159.33,4.61,2.11,0.0,2.49,375.46,336.41,39.05,141.62,830.16,37.71,792.45,115.81,0.6,346.95,8133.35,1733.59,108.76,1019.7,489.04,116.08,0.0,22.45,423.24,361.99,61.25,419.56,225.48,22.33,44.14,127.61,1661.66,240.95,31.01,209.93,528.89,109.84,419.05,261.67,0.21,15.9,245.56,8.67,2.31,0.13,6.23,385.55,337.72,47.82,276.37,1338.13,74.93,1263.2,166.63,0.36,665.63
5456.4,947.61,123.89,501.67,262.64,57.51,1.89,31.01,149.47,129.91,19.56,328.2,218.06,26.99,31.42,51.74,1195.76,199.36,26.14,173.22,437.85,88.68,349.16,198.97,11.27,10.83,176.87,13.4,3.99,1.92,7.49,407.91,373.78,34.13,142.43,880.65,41.09,839.56,134.13,12.39,377.28,8970.33,1664.84,130.97,949.39,467.58,115.1,1.8,56.95,378.5,319.98,58.52,519.47,304.21,27.65,47.64,139.98,1783.13,262.39,37.06,225.33,621.9,126.14,495.76,319.16,16.29,16.73,286.14,75.1,3.91,2.76,68.42,483.92,441.13,42.78,299.42,1536.19,79.68,1456.51,204.55,19.13,745.66
5415.15,955.69,134.07,503.0,263.51,54.88,0.23,7.8,154.25,135.94,18.32,326.3,220.84,26.99,28.78,49.7,1189.17,222.09,24.21,197.88,438.07,86.17,351.9,199.71,1.07,7.32,191.31,6.83,3.53,0.02,3.28,411.87,377.63,34.24,144.95,851.07,39.76,811.31,129.47,0.57,377.31,8188.41,1582.94,112.93,927.23,439.77,103.0,0.0,20.34,312.79,273.65,39.14,488.96,290.72,24.83,39.33,134.08,1664.5,291.68,32.96,258.72,555.99,112.73,443.26,297.61,0.19,11.2,286.21,8.42,2.06,0.13,6.23,423.14,382.22,40.92,290.49,1360.27,72.21,1288.06,178.51,0.46,712.31
5534.36,1074.45,173.09,571.87,266.55,60.95,1.99,62.22,150.8,132.37,18.43,331.45,220.4,29.41,30.86,50.79,1144.56,160.23,23.43,136.79,453.45,94.48,358.98,224.72,11.99,5.47,207.26,9.81,3.99,2.0,3.82,313.75,269.39,44.37,150.49,918.64,39.16,879.49,149.04,14.32,376.42,8377.41,1731.03,153.29,1010.04,450.97,114.25,2.48,95.64,264.75,240.27,24.47,488.88,290.11,27.75,42.18,128.84,1571.61,205.56,29.2,176.36,571.99,126.32,445.67,348.25,19.03,11.04,318.18,16.05,3.38,2.39,10.28,371.74,319.88,51.85,326.69,1422.22,76.91,1345.31,229.25,19.26,714.52
4923.99,913.13,104.19,495.45,266.18,46.92,0.39,8.92,147.76,128.68,19.08,269.05,167.11,21.76,32.8,47.37,1009.15,149.42,23.52,125.89,501.1,99.5,401.6,159.48,0.7,6.39,152.38,3.73,2.72,0.0,1.01,255.78,216.92,38.86,159.89,871.38,40.14,831.24,126.53,0.64,348.04,7759.16,1528.77,85.41,915.93,438.54,88.88,0.0,21.46,277.73,248.18,29.55,420.9,215.94,19.69,45.96,139.3,1400.58,208.0,32.02,175.98,637.51,125.61,511.9,257.53,0.13,11.6,245.8,7.73,1.93,0.16,5.63,310.39,266.68,43.72,296.38,1409.63,85.68,1323.96,301.77,0.39,680.39
4684.85,1006.89,105.93,562.58,287.21,50.85,0.32,8.02,196.55,170.91,25.63,238.48,142.56,20.44,30.76,44.72,918.31,154.35,25.71,128.64,415.83,80.64,335.19,139.42,1.0,7.62,130.81,3.06,2.11,0.0,0.95,240.1,206.51,33.59,152.77,766.03,33.77,732.26,116.28,0.7,328.07,7405.67,1697.48,90.43,1050.05,464.14,92.87,0.0,20.74,352.64,311.83,40.81,429.13,197.37,17.04,42.29,172.44,1266.87,198.84,31.61,167.23,534.81,107.3,427.51,217.54,0.09,9.48,207.98,7.32,1.72,0.11,5.49,277.96,239.73,38.23,284.37,1212.95,67.73,1145.22,264.01,0.51,640.51
5398.86,979.61,119.9,522.37,274.42,62.72,0.21,8.88,142.31,123.06,19.26,312.25,194.05,26.77,40.26,51.17,1106.59,200.43,31.46,168.97,482.29,95.78,386.51,190.47,1.26,11.94,177.28,4.51,3.29,0.0,1.22,398.58,327.17,71.41,160.47,887.71,34.99,852.72,144.6,0.65,379.51,8460.91,1684.25,108.4,996.32,462.58,116.95,0.0,23.73,280.13,249.21,30.91,515.42,252.72,24.35,56.77,181.59,1531.53,256.31,38.4,217.91,628.26,127.58,500.68,285.12,0.17,18.49,266.46,8.45,2.7,0.02,5.73,429.18,348.13,81.04,329.82,1448.7,73.55,1375.14,323.56,0.86,715.61
5220.47,973.21,112.25,502.8,286.76,70.92,0.49,9.02,148.42,127.44,20.98,300.54,188.24,25.67,36.51,50.12,1031.76,162.91,28.52,134.39,470.16,94.41,375.75,186.58,1.31,11.48,173.79,6.21,3.99,0.0,2.23,380.69,341.41,39.28,145.44,890.9,36.36,854.53,137.98,0.69,375.97,8265.95,1685.61,99.74,978.95,475.85,131.08,0.0,23.27,303.13,268.1,35.03,515.02,248.4,24.13,52.32,190.17,1417.64,211.48,34.22,177.26,623.24,128.92,494.32,289.32,0.12,18.42,270.79,11.24,2.95,0.0,8.28,407.88,360.19,47.69,280.72,1458.14,73.34,1384.8,310.74,0.81,727.71
5804.6,1126.36,125.28,585.85,334.27,80.48,0.48,8.75,176.83,155.09,21.74,349.08,220.07,30.2,44.44,54.36,1121.51,199.38,31.72,167.66,451.04,92.28,358.76,210.06,0.78,15.73,193.56,4.97,3.34,0.0,1.63,445.78,406.93,38.85,151.25,1028.97,43.55,985.42,151.72,0.55,378.35,9247.75,1967.43,111.98,1142.46,561.7,151.29,0.0,22.98,367.08,328.1,38.98,587.48,297.83,28.24,63.12,198.28,1547.41,245.8,33.09,212.71,622.31,126.1,496.21,317.59,0.13,21.45,296.01,10.25,2.91,0.0,7.34,482.03,435.6,46.43,296.71,1697.49,98.24,1599.26,303.71,0.53,778.95
5275.86,1087.9,98.26,561.05,341.09,87.2,0.32,9.25,159.29,140.04,19.24,269.59,158.21,25.43,37.34,48.61,1048.79,214.01,33.07,180.94,399.88,77.41,322.46,198.81,2.38,13.75,182.68,2.41,1.72,0.0,0.69,370.73,337.14,33.59,148.88,888.0,32.83,855.17,134.06,0.61,343.67,8212.67,1866.54,79.45,1063.22,563.5,160.36,0.0,20.71,285.18,250.28,34.9,458.65,203.34,24.8,51.99,178.53,1404.23,248.47,31.21,217.26,532.75,92.89,439.85,300.21,0.21,19.11,280.89,8.66,2.17,0.0,6.49,373.07,332.14,40.93,277.57,1416.24,68.83,1347.41,293.94,0.53,725.93
5570.83,1090.52,91.25,575.2,333.03,90.6,0.45,9.81,158.45,139.21,19.24,267.64,151.35,24.61,38.88,52.81,1104.64,243.13,32.73,210.4,453.46,94.63,358.83,216.64,1.66,13.29,201.7,5.17,4.03,0.0,1.13,367.98,324.93,43.05,166.3,987.93,42.52,945.42,136.92,0.66,361.59,8959.01,1929.92,87.18,1118.73,555.54,168.46,0.0,23.3,294.18,255.96,38.21,471.69,202.01,25.56,56.27,187.85,1487.13,301.16,32.72,268.44,638.15,121.54,516.61,328.48,0.7,19.72,308.07,9.92,2.33,0.03,7.56,389.08,341.33,47.74,293.76,1633.15,105.4,1527.76,361.0,0.84,797.24
