전북_합계,전북_종합소매,전북_ 백화점,전북_ 대형마트/유통전문점,전북_ 슈퍼마켓,전북_ 편의점,전북_ 면세점,전북_전자상거래/통신판매,전북_식료품,전북_ 일반식료품,전북_ 건강보조식품,전북_의류/잡화,전북_ 의복/직물,전북_ 복식잡화,전북_ 시계/귀금속/안경,전북_ 화장품,전북_연료,전북_가구/가전,전북_ 가구,전북_ 가전제품/정보통신기기,전북_의료/보건,전북_ 종합병원,전북_ 일반병의원/기타의료기관,전북_자동차,전북_ 국산자동차신품,전북_ 기타운송수단,전북_ 자동차 부품 및 정비,전북_여행/교통,전북_ 여행사/자동차임대,전북_ 항공사,전북_ 대중교통,전북_오락/문화,전북_ 스포츠/오락/여가,전북_ 서적/문구,전북_교육,전북_숙박/음식,전북_ 숙박,전북_ 음식점,전북_공과금/개인 및 전문 서비스,전북_금융/보험,전북_기타,전남_합계,전남_종합소매,전남_ 백화점,전남_ 대형마트/유통전문점,전남_ 슈퍼마켓,전남_ 편의점,전남_ 면세점,전남_전자상거래/통신판매,전남_식료품,전남_ 일반식료품,전남_ 건강보조식품,전남_의류/잡화,전남_ 의복/직물,전남_ 복식잡화,전남_ 시계/귀금속/안경,전남_ 화장품,전남_연료,전남_가구/가전,전남_ 가구,전남_ 가전제품/정보통신기기,전남_의료/보건,전남_ 종합병원,전남_ 일반병의원/기타의료기관,전남_자동차,전남_ 국산자동차신품,전남_ 기타운송수단,전남_ 자동차 부품 및 정비,전남_여행/교통,전남_ 여행사/자동차임대,전남_ 항공사,전남_ 대중교통,전남_오락/문화,전남_ 스포츠/오락/여가,전남_ 서적/문구,전남_교육,전남_숙박/음식,전남_ 숙박,전남_ 음식점,전남_공과금/개인 및 전문 서비스,전남_금융/보험,전남_기타
6327.1,1152.04,135.64,631.8,330.45,54.13,0.02,25.68,206.85,187.65,19.2,327.04,194.53,25.71,49.93,56.86,1291.85,254.31,28.89,225.42,636.96,157.1,479.86,231.71,2.88,16.9,211.94,65.84,3.05,60.53,2.26,327.69,284.0,43.69,162.5,1054.84,52.45,1002.39,181.27,0.94,407.59,5302.96,971.74,40.35,631.8,255.29,44.25,0.04,8.75,209.69,201.4,8.29,248.43,148.44,18.86,37.55,43.57,1101.15,224.0,23.42,200.58,440.54,119.04,321.5,200.4,0.21,9.38,190.81,5.77,3.37,0.0,2.41,334.9,305.05,29.84,119.2,979.9,62.51,917.39,108.09,0.13,350.26
6531.71,1185.02,121.1,653.41,354.33,56.11,0.07,27.79,261.21,239.03,22.18,285.31,157.45,21.66,52.29,53.92,1352.54,205.77,31.67,174.09,633.88,149.94,483.93,227.8,2.42,16.21,209.17,58.39,3.08,52.87,2.44,310.02,268.56,41.46,221.41,1193.81,79.88,1113.92,156.97,0.73,411.07,5638.23,1024.96,31.11,665.2,281.48,47.06,0.11,8.35,295.85,285.51,10.34,212.44,116.11,15.83,37.17,43.32,1180.29,176.81,24.81,152.0,446.84,116.0,330.83,200.03,0.25,8.93,190.85,7.95,4.09,0.0,3.86,335.44,305.95,29.49,136.18,1151.26,97.85,1053.42,110.28,0.19,351.37
6252.03,1246.38,159.04,682.67,344.8,59.81,0.04,26.06,296.57,268.07,28.5,346.67,224.52,25.55,45.23,51.37,1277.79,181.81,28.6,153.22,560.7,135.18,425.52,212.31,2.4,15.86,194.05,63.53,3.13,58.17,2.24,348.24,304.02,44.22,165.36,974.44,46.27,928.17,152.04,0.87,399.24,5268.17,1063.53,52.27,684.64,277.15,49.4,0.06,8.21,318.05,303.16,14.89,271.42,181.46,18.54,32.27,39.14,1104.02,143.36,22.89,120.47,392.52,100.56,291.96,185.37,0.13,9.73,175.5,5.93,3.02,0.0,2.92,344.71,315.21,29.51,108.31,883.5,52.58,830.92,98.12,0.13,340.99
6769.9,1191.85,180.56,609.6,320.7,61.4,19.58,48.61,240.17,219.49,20.68,441.89,296.52,33.29,48.26,63.81,1309.08,218.17,35.53,182.64,649.82,154.43,495.39,246.27,13.68,17.41,215.19,63.59,4.51,51.65,7.42,422.78,383.79,38.98,159.31,1127.33,53.69,1073.64,179.02,13.89,458.12,7569.72,1290.79,134.63,753.81,328.12,73.31,0.92,435.21,255.5,241.39,14.11,401.09,260.9,29.33,45.44,65.41,1297.97,191.43,34.67,156.76,641.71,149.35,492.36,367.47,127.33,12.58,227.56,33.93,5.45,1.7,26.78,547.33,507.3,40.02,154.0,1283.92,67.05,1216.87,187.76,11.06,470.55
6300.98,1089.94,184.18,564.33,288.6,52.74,0.07,22.87,230.19,212.04,18.15,427.7,303.79,26.98,40.93,56.0,1276.28,240.58,28.95,211.63,583.6,138.56,445.04,233.57,4.17,12.09,217.31,52.44,2.91,46.64,2.89,404.36,365.81,38.55,153.43,1023.8,47.8,976.0,150.61,0.83,410.78,5137.32,861.57,60.18,543.08,215.51,42.75,0.05,7.9,207.38,200.31,7.07,317.45,222.96,19.8,29.7,44.98,1090.23,163.17,21.61,141.56,423.8,111.38,312.42,196.55,0.26,7.17,189.12,5.89,3.02,0.0,2.86,393.98,369.31,24.67,113.83,915.34,54.6,860.75,100.44,0.1,339.68
6714.87,1243.36,231.66,645.64,301.92,60.57,3.56,131.7,212.57,195.85,16.72,431.68,301.02,30.25,41.84,58.57,1203.3,189.01,27.29,161.72,611.03,149.27,461.76,289.51,39.93,11.32,238.26,76.66,6.3,62.82,7.55,397.1,345.48,51.63,161.39,1122.95,64.34,1058.61,191.08,26.8,426.73,5416.8,1011.24,110.86,622.15,228.79,47.75,1.69,64.75,208.16,200.23,7.92,319.82,221.48,20.78,31.32,46.23,1063.96,167.95,19.64,148.31,446.53,117.06,329.47,222.9,15.11,7.92,199.86,14.06,3.44,2.19,8.43,339.09,305.39,33.7,120.59,932.7,51.44,881.26,126.01,20.84,358.21
6080.14,1065.89,145.36,564.81,305.82,49.82,0.08,34.98,221.91,204.3,17.61,317.65,198.37,20.5,45.7,53.09,1080.81,164.68,27.4,137.28,680.52,156.28,524.24,213.68,8.0,13.67,192.01,83.77,2.94,78.28,2.54,337.62,291.54,46.08,168.87,1117.64,89.33,1028.31,189.65,0.88,401.58,4878.86,863.72,49.59,544.15,230.25,39.55,0.18,8.21,225.58,218.62,6.96,240.6,150.58,14.45,33.57,42.0,953.26,127.56,19.36,108.2,489.65,121.71,367.93,180.72,0.2,6.81,173.71,10.05,2.51,0.01,7.53,269.29,239.2,30.08,123.19,947.49,57.09,890.4,110.6,0.08,328.85
5727.49,1183.78,145.89,658.79,325.67,53.36,0.06,23.64,300.8,272.31,28.49,300.14,186.6,18.63,42.4,52.5,985.51,162.16,28.07,134.09,575.11,134.97,440.15,190.88,15.41,10.85,164.62,50.08,2.44,45.43,2.21,287.55,250.03,37.52,194.37,951.89,61.37,890.52,149.84,0.74,370.99,4754.57,981.13,45.46,638.1,254.22,43.31,0.03,8.77,338.97,322.91,16.06,227.03,137.02,13.57,32.41,44.04,883.14,126.08,18.13,107.96,427.0,107.51,319.49,157.94,0.23,6.25,151.45,9.12,2.37,0.0,6.75,253.28,228.73,24.55,118.84,812.33,47.75,764.58,100.21,0.15,310.6
6277.41,1127.66,166.58,595.98,303.73,61.28,0.09,20.54,213.3,194.24,19.06,395.88,254.31,27.44,54.48,59.65,1168.59,206.7,35.51,171.19,640.53,150.98,489.55,241.34,15.96,19.33,206.05,78.5,3.26,72.93,2.31,394.84,316.8,78.04,174.09,1038.36,42.16,996.2,172.57,1.08,403.41,5210.78,923.86,59.48,578.91,234.74,50.67,0.05,10.01,215.01,205.91,9.11,304.1,193.41,19.85,41.32,49.52,1010.47,155.19,24.97,130.22,472.48,120.72,351.76,191.44,0.24,8.91,182.29,8.68,3.19,0.0,5.49,376.41,317.65,58.76,120.1,960.84,54.23,906.61,116.87,0.1,345.23
6026.59,1118.45,159.3,566.26,324.77,67.96,0.16,24.77,225.51,207.18,18.33,381.11,244.46,26.12,54.04,56.49,1068.23,166.13,29.0,137.13,646.56,152.63,493.93,230.17,11.63,18.55,199.98,61.13,3.38,55.32,2.43,364.8,322.01,42.78,150.59,1034.53,43.76,990.76,164.21,1.08,389.33,5084.08,924.57,55.01,562.11,250.11,57.3,0.05,8.85,230.09,221.41,8.68,295.23,189.23,20.47,40.2,45.32,933.32,129.37,21.29,108.08,466.07,119.53,346.54,193.02,0.25,9.91,182.87,10.89,3.45,0.0,7.43,354.19,323.58,30.61,110.5,972.11,57.75,914.35,112.31,0.1,343.45
6757.48,1293.72,169.23,668.29,377.33,78.7,0.17,23.75,267.48,245.96,21.52,442.48,286.12,31.42,61.9,63.05,1163.78,191.0,30.55,160.45,652.07,148.93,503.15,272.04,27.12,20.48,224.44,56.31,3.26,50.51,2.54,416.94,373.73,43.21,156.19,1226.51,55.36,1171.15,176.77,0.91,417.51,5793.05,1103.66,65.9,681.61,289.21,66.74,0.19,8.88,283.18,271.59,11.59,342.05,220.72,22.89,47.08,51.37,1011.77,156.51,23.72,132.79,456.56,113.65,342.91,207.41,0.31,12.39,194.71,16.37,4.76,0.0,11.61,417.36,389.44,27.92,112.68,1175.19,71.93,1103.26,132.88,0.14,368.43
5997.0,1221.98,138.08,617.84,385.75,80.14,0.17,24.12,225.99,205.61,20.38,336.35,198.37,27.39,50.95,59.64,1054.23,195.75,30.62,165.13,588.87,121.12,467.75,262.5,29.78,19.57,213.14,52.63,2.67,47.97,1.99,321.82,284.22,37.6,155.62,1001.32,37.08,964.24,174.8,0.85,380.19,5133.55,1044.19,42.73,639.59,293.25,68.39,0.22,9.28,231.8,221.87,9.93,264.29,158.74,20.01,38.3,47.24,923.29,167.86,26.73,141.13,424.68,103.96,320.72,197.74,0.28,11.6,185.85,7.53,2.48,0.0,5.05,332.03,306.12,25.91,114.54,958.29,51.96,906.33,110.82,0.29,346.92
6566.82,1265.72,140.72,658.23,381.21,85.32,0.25,38.55,230.65,211.63,19.02,338.23,196.14,27.19,54.88,60.02,1115.59,257.73,33.25,224.47,677.74,147.79,529.95,305.79,46.13,21.96,237.7,102.05,2.67,96.94,2.44,335.6,288.41,47.18,166.61,1138.18,51.98,1086.2,200.86,1.05,392.47,5518.27,1086.81,41.06,671.93,300.64,73.0,0.18,10.32,235.61,225.99,9.62,262.01,152.5,19.96,41.08,48.48,953.25,216.72,27.25,189.47,483.96,119.92,364.04,219.52,0.33,11.76,207.44,11.18,3.82,0.04,7.33,341.78,309.37,32.41,120.97,1090.53,65.43,1025.09,120.51,0.43,364.69
