부산_합계,부산_종합소매,부산_ 백화점,부산_ 대형마트/유통전문점,부산_ 슈퍼마켓,부산_ 편의점,부산_ 면세점,부산_전자상거래/통신판매,부산_식료품,부산_ 일반식료품,부산_ 건강보조식품,부산_의류/잡화,부산_ 의복/직물,부산_ 복식잡화,부산_ 시계/귀금속/안경,부산_ 화장품,부산_연료,부산_가구/가전,부산_ 가구,부산_ 가전제품/정보통신기기,부산_의료/보건,부산_ 종합병원,부산_ 일반병의원/기타의료기관,부산_자동차,부산_ 국산자동차신품,부산_ 기타운송수단,부산_ 자동차 부품 및 정비,부산_여행/교통,부산_ 여행사/자동차임대,부산_ 항공사,부산_ 대중교통,부산_오락/문화,부산_ 스포츠/오락/여가,부산_ 서적/문구,부산_교육,부산_숙박/음식,부산_ 숙박,부산_ 음식점,부산_공과금/개인 및 전문 서비스,부산_금융/보험,부산_기타
16542.79,4306.88,1267.32,1721.47,918.03,248.94,151.12,59.84,300.73,253.42,47.3,798.07,431.74,66.2,136.93,163.19,1265.25,629.44,92.82,536.62,2072.51,508.93,1563.58,1174.39,679.27,65.05,430.07,369.31,17.14,181.58,170.59,575.18,491.48,83.7,488.03,2697.31,160.39,2536.92,785.24,36.03,984.56
16640.63,4644.24,1355.54,1846.67,993.96,282.15,165.92,65.84,304.39,260.89,43.49,682.45,341.03,58.22,135.45,147.76,1266.09,636.77,91.74,545.04,2010.52,503.38,1507.13,1100.32,631.64,67.33,401.35,336.91,16.6,150.84,169.47,546.62,473.03,73.59,491.38,2910.96,223.75,2687.21,665.33,35.07,943.76
15954.11,4543.45,1356.67,1849.86,939.91,258.19,138.82,58.93,376.42,313.88,62.54,743.21,414.65,60.1,118.22,150.23,1159.8,459.54,91.48,368.06,1878.36,447.11,1431.25,1255.66,816.15,63.88,375.63,330.94,16.44,141.59,172.91,564.12,478.72,85.4,451.07,2395.16,141.96,2253.2,729.3,35.78,972.39
17444.69,4861.54,1674.2,1827.38,944.08,266.29,149.59,57.52,312.72,263.74,48.98,867.49,513.94,70.85,128.37,154.33,1192.78,503.05,101.56,401.49,2038.78,471.68,1567.11,1772.03,1308.73,79.28,384.02,323.28,17.01,148.21,158.06,679.39,608.11,71.27,439.42,2619.02,148.17,2470.85,711.9,34.92,1030.85
16986.43,4585.52,1693.11,1674.74,814.15,252.38,151.14,56.13,305.61,255.59,50.03,918.89,572.22,67.05,116.86,162.76,1231.21,493.24,85.31,407.93,2066.72,474.65,1592.07,1702.97,1243.47,74.85,384.65,336.17,15.45,139.32,181.4,675.59,605.3,70.29,442.6,2487.47,149.79,2337.67,656.31,35.64,992.36
18145.71,4631.96,1643.28,1701.82,887.72,255.65,143.49,63.47,352.26,301.44,50.82,861.55,497.58,67.83,126.37,169.77,1323.23,483.78,86.06,397.72,2218.21,512.32,1705.89,2048.58,1561.64,81.28,405.65,364.41,15.78,159.29,189.35,643.93,554.78,89.15,485.51,2830.56,166.62,2663.94,737.65,36.11,1064.5
17146.42,4814.12,1475.38,1940.55,996.33,246.42,155.43,66.84,454.57,395.92,58.65,745.72,411.65,57.58,122.15,154.33,1361.78,464.88,85.52,379.36,2104.27,485.34,1618.93,1177.01,737.76,62.47,376.78,422.9,14.34,208.73,199.83,569.19,493.76,75.42,451.98,2722.97,162.37,2560.6,740.47,29.61,1020.13
15528.29,3882.18,1283.31,1443.53,756.5,227.73,171.12,55.57,285.23,238.89,46.33,714.99,382.68,52.98,129.65,149.69,1291.67,490.68,95.72,394.96,2083.26,445.97,1637.29,1145.83,731.93,66.71,347.19,392.56,15.84,178.6,198.11,527.51,452.3,75.21,515.18,2461.84,159.62,2302.22,709.66,31.21,940.93
17433.93,4589.8,1436.64,1799.18,916.85,261.4,175.74,71.37,340.96,286.15,54.81,861.95,478.03,66.92,148.74,168.26,1431.03,516.77,92.93,423.84,2241.79,497.13,1744.66,1307.21,844.03,85.01,378.18,441.78,15.58,189.9,236.3,688.83,547.11,141.72,500.02,2633.59,149.44,2484.15,735.09,35.72,1038.02
16817.01,4338.9,1371.4,1674.5,866.85,259.37,166.78,59.63,337.87,283.94,53.93,876.38,501.53,68.62,146.19,160.04,1340.46,541.36,87.6,453.77,2220.18,483.92,1736.26,1175.85,721.09,80.95,373.81,464.26,18.93,187.84,257.48,648.0,568.92,79.07,444.64,2616.52,141.74,2474.78,714.53,34.27,1004.16
18127.51,4982.9,1636.68,1926.6,935.13,304.9,179.59,64.84,376.37,320.08,56.28,935.51,534.4,75.38,161.94,163.79,1339.41,607.77,92.56,515.21,2216.68,476.18,1740.5,1172.77,717.0,69.86,385.91,508.14,18.33,236.88,252.93,698.64,626.22,72.42,455.2,3041.05,193.15,2847.89,691.8,33.75,1002.69
