경남_합계,경남_종합소매,경남_ 백화점,경남_ 대형마트/유통전문점,경남_ 슈퍼마켓,경남_ 편의점,경남_ 면세점,경남_전자상거래/통신판매,경남_식료품,경남_ 일반식료품,경남_ 건강보조식품,경남_의류/잡화,경남_ 의복/직물,경남_ 복식잡화,경남_ 시계/귀금속/안경,경남_ 화장품,경남_연료,경남_가구/가전,경남_ 가구,경남_ 가전제품/정보통신기기,경남_의료/보건,경남_ 종합병원,경남_ 일반병의원/기타의료기관,경남_자동차,경남_ 국산자동차신품,경남_ 기타운송수단,경남_ 자동차 부품 및 정비,경남_여행/교통,경남_ 여행사/자동차임대,경남_ 항공사,경남_ 대중교통,경남_오락/문화,경남_ 스포츠/오락/여가,경남_ 서적/문구,경남_교육,경남_숙박/음식,경남_ 숙박,경남_ 음식점,경남_공과금/개인 및 전문 서비스,경남_금융/보험,경남_기타
11040.62,2510.5,414.04,1269.83,634.97,191.16,0.49,20.05,310.55,281.89,28.66,598.33,344.08,46.31,86.93,121.01,1712.65,349.26,69.4,279.86,1039.81,234.37,805.45,416.41,2.48,32.64,381.29,21.09,3.39,0.0,17.7,588.77,530.15,58.63,328.13,1964.99,82.02,1882.97,312.17,2.85,865.05
11792.4,2597.23,430.34,1324.7,636.12,205.65,0.42,22.4,316.96,289.98,26.98,598.83,332.28,46.63,92.38,127.53,1791.27,446.09,68.24,377.85,1180.54,272.28,908.26,461.52,3.39,34.35,423.79,24.26,4.23,0.09,19.94,621.0,548.54,72.46,358.83,2171.78,99.69,2072.1,312.62,3.86,885.21
12009.53,2658.79,397.94,1372.37,672.7,213.44,2.35,27.23,353.56,328.86,24.7,512.21,258.43,40.66,97.32,115.79,1830.51,399.36,68.1,331.26,1169.59,269.94,899.64,434.43,2.39,28.24,403.8,38.7,4.54,0.06,34.1,670.61,606.24,64.37,353.24,2407.77,139.47,2268.3,292.55,3.02,857.97
11341.38,2735.0,479.54,1384.05,658.51,210.36,2.54,19.92,435.95,392.57,43.38,614.87,371.15,45.68,78.93,119.11,1671.56,303.78,65.27,238.51,1126.83,257.95,868.88,399.08,2.69,27.49,368.9,23.8,4.27,0.08,19.45,586.4,518.05,68.36,319.6,1952.73,79.88,1872.84,286.99,3.02,861.84
11700.18,2535.81,586.01,1167.91,568.05,210.49,3.35,21.22,307.83,280.73,27.1,728.08,470.17,50.18,84.92,122.81,1696.16,372.59,87.07,285.52,1249.88,275.53,974.35,440.56,2.29,31.51,406.76,30.61,4.51,0.0,26.1,687.21,625.4,61.81,351.51,2073.23,100.26,1972.97,317.6,3.26,884.64
11467.78,2564.06,597.48,1196.06,564.72,202.95,2.85,19.53,301.34,277.68,23.66,732.37,496.09,47.87,76.78,111.64,1678.42,385.63,80.23,305.4,1155.86,268.36,887.5,399.21,2.39,26.04,370.77,23.51,4.1,0.0,19.41,655.46,595.06,60.4,325.92,2066.88,92.89,1973.99,312.18,2.5,844.89
12002.76,2638.89,561.54,1275.65,592.64,206.3,2.76,21.76,332.52,305.56,26.96,712.54,460.16,49.24,83.55,119.6,1715.07,388.86,75.1,313.76,1267.87,299.84,968.03,434.49,2.42,23.95,408.12,23.33,4.23,0.0,19.1,641.04,565.19,75.85,365.24,2228.04,97.88,2130.16,317.52,2.81,912.78
11458.77,2485.76,447.32,1219.24,622.94,193.95,2.32,22.34,341.84,313.86,27.98,611.25,371.48,38.28,83.87,117.63,1673.83,312.05,74.54,237.51,1316.08,305.22,1010.86,416.18,1.94,20.87,393.37,21.7,4.78,0.0,16.92,534.3,467.35,66.96,375.76,2181.99,103.78,2078.21,316.28,2.45,846.95
10727.59,2607.68,485.77,1319.65,607.2,192.56,2.5,25.21,367.09,333.15,33.95,535.94,319.72,35.68,78.14,102.4,1543.94,313.08,68.76,244.32,1188.37,280.76,907.6,348.06,1.88,21.46,324.71,21.21,4.24,0.0,16.97,487.24,425.81,61.43,342.73,1884.19,78.3,1805.88,276.99,3.02,782.85
11492.83,2497.68,476.58,1194.44,602.64,220.89,3.12,22.52,305.93,277.88,28.04,636.01,381.09,45.59,91.68,117.64,1615.34,369.51,74.79,294.72,1319.5,315.25,1004.25,411.53,2.09,32.47,376.97,23.83,4.62,0.0,19.21,642.79,522.64,120.15,372.24,2098.98,84.48,2014.5,315.29,3.33,858.35
11316.58,2476.84,489.75,1161.34,602.93,222.72,0.11,21.69,308.38,279.78,28.6,657.15,405.56,46.52,90.82,114.25,1538.17,316.67,67.3,249.37,1274.84,305.8,969.04,417.33,2.34,30.59,384.4,31.59,4.84,0.0,26.76,620.89,553.95,66.93,337.78,2144.46,91.64,2052.83,321.9,2.62,846.28
12495.91,2871.54,550.74,1379.27,685.34,253.65,2.54,26.22,355.27,320.65,34.62,741.02,459.73,54.49,104.1,122.7,1730.34,377.82,79.16,298.65,1250.57,305.74,944.82,438.49,2.56,34.22,401.72,33.96,5.05,0.0,28.91,706.45,641.66,64.79,345.26,2437.68,105.81,2331.86,346.57,2.75,831.98
11811.62,2678.18,465.59,1276.21,678.56,255.11,2.71,22.03,315.6,285.82,29.78,631.92,372.33,50.52,91.99,117.08,1697.3,372.54,71.56,300.98,1272.91,313.55,959.36,444.68,2.53,34.57,407.58,31.57,4.68,0.0,26.89,618.82,558.8,60.02,355.85,2229.33,96.94,2132.4,326.34,2.67,811.87
