인천_합계,인천_종합소매,인천_ 백화점,인천_ 대형마트/유통전문점,인천_ 슈퍼마켓,인천_ 편의점,인천_ 면세점,인천_전자상거래/통신판매,인천_식료품,인천_ 일반식료품,인천_ 건강보조식품,인천_의류/잡화,인천_ 의복/직물,인천_ 복식잡화,인천_ 시계/귀금속/안경,인천_ 화장품,인천_연료,인천_가구/가전,인천_ 가구,인천_ 가전제품/정보통신기기,인천_의료/보건,인천_ 종합병원,인천_ 일반병의원/기타의료기관,인천_자동차,인천_ 국산자동차신품,인천_ 기타운송수단,인천_ 자동차 부품 및 정비,인천_여행/교통,인천_ 여행사/자동차임대,인천_ 항공사,인천_ 대중교통,인천_오락/문화,인천_ 스포츠/오락/여가,인천_ 서적/문구,인천_교육,인천_숙박/음식,인천_ 숙박,인천_ 음식점,인천_공과금/개인 및 전문 서비스,인천_금융/보험,인천_기타
9303.51,2635.62,322.93,1188.67,557.51,111.2,455.3,36.47,418.59,380.78,37.81,453.08,241.77,54.5,67.62,89.2,1101.48,220.23,48.32,171.91,937.13,271.38,665.75,270.84,2.55,23.25,245.04,131.9,4.46,8.58,118.86,354.2,300.18,54.02,343.71,1577.94,95.49,1482.45,292.64,2.51,527.17
10558.74,2743.0,365.56,1206.83,559.89,134.87,475.86,39.63,313.31,284.61,28.7,581.77,316.49,72.08,89.82,103.38,1318.9,317.06,70.71,246.34,1083.56,310.63,772.93,342.34,2.36,33.25,306.73,126.09,5.52,8.01,112.56,498.9,400.08,98.81,393.66,1829.8,100.2,1729.6,338.55,2.63,629.52
10230.57,2699.35,356.98,1128.9,577.24,147.74,488.49,37.41,321.01,292.78,28.23,589.09,315.7,87.51,84.73,101.16,1218.07,270.76,66.52,204.24,1075.16,310.82,764.35,336.5,2.33,29.93,304.24,150.21,4.36,7.23,138.62,469.63,405.32,64.3,357.51,1798.51,100.9,1697.61,325.18,3.43,578.74
11156.56,3034.2,394.96,1304.83,636.6,168.73,529.07,34.2,367.26,337.99,29.27,648.03,357.94,81.14,101.2,107.75,1285.91,315.01,72.04,242.97,1055.28,300.0,755.27,382.82,2.39,38.54,341.89,142.97,5.24,9.23,128.5,520.27,458.34,61.94,376.53,2085.45,117.12,1968.34,344.55,2.81,561.27
10318.24,2915.42,338.85,1227.49,679.41,184.6,485.07,35.46,324.99,296.59,28.4,531.4,278.31,65.47,86.57,101.04,1228.02,332.12,75.55,256.56,940.13,244.99,695.14,363.55,2.41,37.79,323.36,138.29,3.76,7.54,126.99,439.51,386.52,52.99,367.9,1847.61,98.8,1748.81,322.48,2.54,528.81
10880.88,2919.62,336.87,1254.59,653.34,194.28,480.54,38.08,316.72,290.59,26.14,521.1,260.84,64.04,91.25,104.97,1303.58,388.86,72.5,316.36,1073.0,297.94,775.05,404.5,2.63,35.4,366.47,151.33,4.31,7.0,140.02,451.85,386.38,65.47,407.07,1999.98,112.58,1887.4,353.2,4.18,547.81
10771.17,2834.53,294.62,1200.22,667.2,202.15,470.35,35.6,328.78,304.9,23.89,457.31,213.01,55.26,93.73,95.31,1281.72,352.3,84.72,267.58,1075.98,308.08,767.9,381.01,1.65,29.73,349.64,159.37,5.46,8.01,145.91,437.3,373.45,63.85,385.82,2137.11,137.66,1999.45,345.99,3.13,555.2
10340.5,2796.84,320.28,1239.29,683.34,201.77,352.14,37.9,491.59,444.9,46.69,506.23,258.95,67.69,81.71,97.87,1184.68,271.48,71.07,200.41,1036.08,297.64,738.44,351.28,2.11,30.45,318.73,149.74,4.75,8.13,136.86,437.88,373.67,64.21,354.98,1832.27,97.62,1734.65,332.15,2.78,554.61
10769.39,2794.38,410.05,1115.59,585.91,199.52,483.32,33.36,352.82,316.51,36.32,607.71,336.98,81.51,85.74,103.48,1193.98,319.83,81.21,238.62,1144.03,310.88,833.15,391.01,3.59,31.46,355.96,160.0,5.35,7.83,146.83,500.28,442.75,57.53,395.8,1935.24,115.66,1819.58,354.31,3.9,582.75
10569.02,2868.61,422.5,1202.82,609.66,189.74,443.89,34.02,339.99,312.4,27.59,631.04,369.91,88.49,75.17,97.47,1172.51,341.89,72.21,269.68,1051.77,296.87,754.9,361.43,2.28,23.68,335.47,151.3,4.86,8.84,137.6,483.77,430.41,53.36,357.39,1870.29,101.98,1768.31,341.63,3.18,560.2
10986.61,2877.01,403.39,1200.73,612.97,193.06,466.86,36.34,342.71,315.94,26.77,619.59,336.68,88.19,83.13,111.57,1218.7,267.1,63.47,203.63,1160.45,332.86,827.59,396.19,3.84,32.09,360.26,165.87,5.56,12.26,148.05,472.92,403.35,69.57,399.59,2072.64,112.89,1959.75,361.61,3.06,592.84
11546.09,2810.58,328.18,1158.84,660.72,182.42,480.42,41.2,364.4,334.63,29.76,515.88,256.84,66.48,85.99,106.56,1189.84,240.32,60.96,179.36,1221.2,339.58,881.63,1321.01,955.62,22.65,342.74,149.58,4.45,11.32,133.8,399.23,335.96,63.26,423.76,1962.03,103.01,1859.02,355.42,2.67,548.97
10843.09,2739.73,310.62,1187.04,622.91,179.76,439.39,35.35,408.07,373.16,34.91,470.72,229.48,63.19,79.16,98.89,1050.6,241.52,60.88,180.64,1083.72,306.64,777.08,1320.62,1020.82,24.5,275.3,149.04,5.15,12.63,131.26,393.09,333.4,59.68,379.67,1741.28,92.29,1648.99,322.05,2.46,505.18
12619.29,2770.78,318.4,1168.62,637.26,204.68,441.82,40.47,319.14,289.97,29.17,579.71,287.98,87.68,94.9,109.15,1136.75,308.49,75.58,232.91,1231.84,341.29,890.55,2220.46,1836.58,54.92,328.96,138.68,4.05,9.62,125.02,531.37,429.9,101.47,430.0,1951.09,97.43,1853.66,384.98,3.5,572.02
12130.58,2781.24,350.04,1135.11,635.61,208.68,451.8,36.81,328.19,298.13,30.06,592.56,295.52,93.38,94.35,109.31,1097.1,264.48,70.61,193.87,1177.86,323.99,853.87,1886.56,1498.95,47.9,339.71,158.02,5.05,9.7,143.28,508.61,444.77,63.84,392.62,1961.18,99.13,1862.05,376.81,4.12,564.41
13511.64,3397.57,533.34,1438.19,691.09,239.69,495.26,40.84,357.45,323.8,33.65,628.72,325.43,85.54,102.83,114.92,1162.7,339.91,84.17,255.74,1160.4,328.7,831.7,2149.49,1757.14,43.59,348.77,155.63,8.18,10.68,136.76,536.4,474.19,62.22,403.39,2233.86,113.26,2120.6,410.61,3.53,531.13
13747.63,3108.93,406.59,1279.76,692.75,245.35,484.48,36.4,333.48,304.42,29.07,572.89,285.78,77.68,98.46,110.97,1190.78,335.06,83.75,251.32,1160.16,326.15,834.01,2932.57,2525.39,49.37,357.82,162.93,5.58,10.76,146.59,478.28,421.08,57.2,414.51,2099.83,110.17,1989.66,400.64,3.26,517.92
13409.0,3127.73,398.95,1301.78,696.44,254.95,475.62,39.02,318.53,292.2,26.32,537.34,249.13,71.82,102.68,113.71,1246.31,455.75,100.35,355.4,1223.02,339.63,883.39,2194.47,1767.88,37.56,389.03,161.21,5.0,9.87,146.34,477.63,411.68,65.95,449.95,2218.78,113.65,2105.13,410.02,3.31,545.93
12675.71,3395.57,412.12,1419.83,722.44,282.37,558.81,49.88,316.65,290.17,26.48,480.62,209.37,66.84,96.54,107.87,1233.37,430.19,95.62,334.57,1192.16,342.41,849.75,1233.25,826.79,38.37,368.09,171.48,5.03,13.43,153.02,459.48,399.37,60.11,431.43,2342.48,144.01,2198.47,392.29,2.83,544.03
12186.09,3267.07,430.74,1360.92,699.99,268.34,507.08,41.42,459.44,408.67,50.77,507.25,242.71,73.26,85.82,105.46,1120.3,298.18,87.89,210.29,1120.45,314.39,806.06,1413.82,1041.05,39.85,332.92,161.4,4.35,12.75,144.3,460.72,400.41,60.31,407.95,2007.92,112.2,1895.72,386.18,2.82,531.16
13044.08,3341.2,525.92,1341.73,682.14,274.14,517.27,39.31,414.08,373.58,40.5,607.75,320.64,85.9,92.51,108.7,1170.21,321.51,94.49,227.02,1229.09,330.2,898.89,1600.3,1196.64,45.0,358.67,158.44,4.98,14.81,138.65,535.95,476.24,59.71,414.87,2218.99,119.79,2099.21,411.78,3.23,577.36
12677.89,3235.81,519.32,1288.74,665.65,251.89,510.2,39.92,376.4,345.14,31.26,623.54,346.63,89.26,78.81,108.84,1197.9,327.8,71.77,256.03,1213.28,334.48,878.8,1584.53,1175.53,38.66,370.34,162.19,4.56,20.38,137.26,521.76,464.37,57.39,420.07,1995.48,109.4,1886.09,406.34,4.02,568.83
13015.04,3184.87,500.26,1282.33,669.61,251.05,481.62,45.98,377.55,346.87,30.67,602.56,308.22,89.66,93.8,110.88,1276.52,272.95,67.06,205.89,1353.94,363.48,990.46,1540.18,1122.62,35.1,382.46,160.54,6.07,28.36,126.11,491.61,417.93,73.68,441.44,2249.04,120.15,2128.9,420.6,3.68,593.57
12201.75,3330.86,440.66,1407.14,752.38,243.62,487.05,57.72,502.82,460.56,42.26,510.19,253.48,71.87,83.27,101.58,1251.46,248.31,62.44,185.87,1237.86,338.51,899.35,1005.26,659.47,22.52,323.27,156.37,5.53,32.64,118.2,424.78,361.58,63.19,411.26,2115.71,109.32,2006.39,403.97,3.35,541.84
11206.59,2778.03,384.37,1053.07,591.08,222.23,527.27,40.48,292.9,268.27,24.64,484.74,221.81,69.6,89.45,103.88,1210.21,291.39,73.6,217.8,1233.36,319.01,914.35,1011.98,672.42,27.63,311.94,145.93,4.83,22.83,118.28,418.87,355.42,63.45,447.86,1947.96,105.08,1842.88,396.42,2.86,503.58
13031.24,3217.84,436.75,1287.95,716.64,263.89,512.6,51.77,347.87,318.29,29.58,594.31,283.25,92.73,104.79,113.54,1347.16,332.42,78.35,254.07,1339.78,349.28,990.5,1370.07,962.36,50.76,356.95,150.92,4.55,23.43,122.95,557.02,455.43,101.59,473.61,2192.34,104.02,2088.31,454.18,4.14,597.8
12480.42,3115.93,428.33,1210.51,706.64,260.61,509.84,41.52,359.77,328.44,31.33,598.5,288.92,93.86,104.61,111.11,1277.5,334.78,71.49,263.29,1293.03,335.66,957.37,1131.32,731.23,41.85,358.24,162.29,4.79,20.06,137.44,526.68,458.1,68.59,430.69,2182.67,107.68,2074.99,454.82,4.97,565.93
