대구_합계,대구_종합소매,대구_ 백화점,대구_ 대형마트/유통전문점,대구_ 슈퍼마켓,대구_ 편의점,대구_ 면세점,대구_전자상거래/통신판매,대구_식료품,대구_ 일반식료품,대구_ 건강보조식품,대구_의류/잡화,대구_ 의복/직물,대구_ 복식잡화,대구_ 시계/귀금속/안경,대구_ 화장품,대구_연료,대구_가구/가전,대구_ 가구,대구_ 가전제품/정보통신기기,대구_의료/보건,대구_ 종합병원,대구_ 일반병의원/기타의료기관,대구_자동차,대구_ 국산자동차신품,대구_ 기타운송수단,대구_ 자동차 부품 및 정비,대구_여행/교통,대구_ 여행사/자동차임대,대구_ 항공사,대구_ 대중교통,대구_오락/문화,대구_ 스포츠/오락/여가,대구_ 서적/문구,대구_교육,대구_숙박/음식,대구_ 숙박,대구_ 음식점,대구_공과금/개인 및 전문 서비스,대구_금융/보험,대구_기타
8419.99,2246.23,657.49,1057.04,478.24,52.06,1.4,111.98,262.9,241.61,21.3,491.19,283.31,28.76,88.42,90.7,950.76,234.4,49.69,184.71,1046.65,230.45,816.19,227.44,1.01,35.75,190.68,51.66,5.02,0.11,46.53,340.57,274.66,65.91,318.08,1240.41,34.8,1205.61,216.93,1.74,679.04
9393.43,2285.91,735.95,1000.34,486.97,61.29,1.37,109.11,200.05,183.69,16.36,605.71,349.6,37.59,113.68,104.84,1123.61,327.71,62.75,264.97,1191.17,271.84,919.33,285.91,1.17,51.8,232.94,51.67,5.06,0.22,46.39,472.92,351.47,121.45,344.52,1402.72,47.02,1355.69,260.52,2.28,729.6
8956.61,2217.3,704.17,938.36,505.21,67.6,1.96,99.73,197.96,180.88,17.08,593.05,345.89,35.97,108.51,102.68,1020.75,266.85,53.42,213.42,1179.09,269.32,909.77,285.5,1.2,48.8,235.5,65.76,5.95,0.47,59.34,408.98,331.85,77.13,305.01,1368.95,43.39,1325.56,242.01,1.55,704.12
9786.12,2470.0,754.78,1079.81,557.11,75.98,2.31,81.18,227.33,208.9,18.43,683.79,403.09,42.23,128.22,110.25,1100.85,327.85,58.94,268.9,1170.9,256.07,914.83,315.15,1.27,53.58,260.3,60.01,5.95,0.18,53.88,439.01,362.31,76.7,326.82,1593.91,50.21,1543.69,264.59,1.7,723.03
8747.53,2219.18,597.25,965.32,574.86,79.86,1.89,61.6,216.52,198.38,18.14,533.92,290.28,35.57,106.76,101.31,1024.09,298.87,55.81,243.06,1068.89,218.75,850.14,301.18,1.86,56.26,243.05,60.99,4.63,0.18,56.18,350.9,288.19,62.7,316.48,1380.16,43.24,1336.92,236.73,1.69,676.33
9343.69,2309.02,604.44,1047.35,569.8,85.63,1.81,41.97,216.65,197.94,18.71,525.33,275.43,35.71,111.0,103.19,1104.41,351.44,55.51,295.93,1231.01,268.77,962.24,322.72,1.19,56.5,265.03,65.89,6.13,0.23,59.53,386.9,311.47,75.44,348.81,1511.16,40.93,1470.23,245.37,2.88,680.13
11503.9,4406.13,585.6,1136.43,2592.51,88.99,2.59,39.03,217.65,201.59,16.06,478.47,237.49,32.65,113.19,95.14,1123.87,372.69,69.71,302.98,1242.07,265.56,976.51,313.39,1.22,55.39,256.78,61.81,5.18,0.29,56.33,377.94,302.46,75.48,366.56,1573.95,46.67,1527.28,241.45,2.93,685.95
9384.91,2592.01,680.85,1220.76,596.6,92.59,1.22,36.85,304.95,276.3,28.65,559.61,326.73,35.03,96.19,101.66,1035.76,283.11,72.95,210.15,1180.23,247.77,932.46,280.05,0.82,42.91,236.32,67.2,5.32,0.13,61.75,386.63,307.07,79.57,320.23,1424.23,45.12,1379.1,236.51,2.17,675.36
9743.86,2509.2,867.12,1025.9,521.46,93.0,1.72,33.81,206.61,186.06,20.55,658.82,406.8,37.79,104.4,109.83,1049.78,329.18,82.4,246.78,1334.23,269.2,1065.03,309.99,1.08,49.57,259.34,71.33,6.23,0.11,64.99,454.42,377.59,76.83,348.39,1492.0,58.03,1433.96,248.11,2.71,695.27
9706.82,2602.99,883.7,1103.25,524.67,90.07,1.29,64.8,207.23,190.12,17.11,667.04,435.05,36.87,90.99,104.13,1027.31,345.22,72.23,272.99,1248.26,250.95,997.32,287.26,1.12,44.81,241.33,67.56,4.35,0.15,63.06,437.05,368.97,68.09,318.15,1521.19,64.65,1456.54,246.62,2.34,663.79
10085.49,2592.0,853.88,1094.12,549.03,94.04,0.93,22.48,229.87,211.45,18.42,644.3,388.31,38.27,100.79,116.93,1059.05,318.31,68.87,249.44,1376.75,290.15,1086.59,320.18,1.28,51.36,267.53,75.87,5.47,0.17,70.23,460.79,368.78,92.01,355.93,1667.76,60.69,1607.07,264.76,3.72,693.73
9623.14,2394.71,665.24,1061.77,577.32,89.0,1.39,74.93,241.38,221.37,20.01,538.87,293.27,32.01,108.19,105.39,1012.16,292.8,73.08,219.72,1428.32,286.51,1141.8,294.43,1.04,40.25,253.14,65.63,5.47,0.13,60.04,400.99,324.96,76.02,367.02,1565.2,49.41,1515.79,261.04,3.07,682.6
9228.4,2473.84,692.51,1129.24,562.52,88.32,1.25,204.06,273.18,248.89,24.29,504.28,282.05,29.29,101.5,91.43,880.94,306.91,79.14,227.78,1245.59,258.64,986.95,244.14,0.85,37.82,205.47,64.57,4.56,0.17,59.85,360.02,285.03,74.99,349.02,1398.47,41.64,1356.82,262.13,5.12,656.12
9700.71,2431.95,696.86,1056.35,576.34,101.41,0.98,108.82,220.6,199.69,20.91,605.19,338.3,36.13,122.9,107.87,932.26,359.64,81.82,277.82,1400.29,296.97,1103.33,304.53,1.95,53.74,248.84,69.65,5.37,0.44,63.84,466.43,340.51,125.93,378.16,1492.23,44.94,1447.29,288.86,8.38,633.71
9359.31,2400.71,717.44,1004.71,574.82,102.35,1.39,23.25,220.63,199.98,20.65,615.82,351.74,35.79,122.12,106.17,913.68,302.27,71.51,230.76,1343.39,279.73,1063.66,299.63,1.1,49.83,248.7,79.35,7.32,0.22,71.81,423.15,342.84,80.32,339.33,1522.17,54.62,1467.55,262.48,6.04,607.4
10185.3,2624.29,813.3,1080.4,614.98,113.98,1.63,119.06,234.51,210.29,24.22,682.47,398.11,41.1,130.26,113.0,979.47,370.37,80.63,289.74,1321.97,279.58,1042.39,320.85,2.22,55.73,262.9,77.75,7.28,0.27,70.2,441.98,364.18,77.8,347.36,1726.01,61.44,1664.56,300.56,7.79,630.87
9454.17,2331.96,629.92,981.4,602.18,116.66,1.79,43.22,217.85,197.15,20.7,591.85,325.26,38.7,121.65,106.24,988.56,365.46,80.03,285.43,1324.92,277.59,1047.33,326.13,2.32,63.13,260.69,80.15,5.54,0.41,74.2,373.57,305.87,67.69,350.46,1574.59,50.97,1523.62,265.83,8.34,611.29
9879.23,2405.75,620.92,1034.96,628.14,120.32,1.41,26.97,228.11,206.73,21.38,551.46,284.61,37.5,122.3,107.06,1063.39,468.34,93.56,374.78,1395.61,288.5,1107.11,341.95,2.33,59.64,279.99,82.6,6.87,0.63,75.1,390.76,312.39,78.37,373.76,1653.0,44.18,1608.81,265.85,6.59,625.1
9776.11,2471.19,612.68,1081.06,645.75,130.07,1.64,45.85,217.96,198.18,19.78,479.68,232.71,32.93,115.8,98.24,1048.94,421.76,92.38,329.38,1359.29,279.35,1079.94,335.0,2.96,57.7,274.34,78.32,6.17,0.31,71.84,367.87,298.15,69.71,387.85,1684.14,48.37,1635.77,262.43,6.22,609.6
9535.05,2593.02,722.37,1105.7,635.01,128.07,1.87,38.62,294.58,261.05,33.53,539.45,302.71,35.0,101.97,99.78,957.2,312.63,80.33,232.3,1282.84,256.61,1026.24,298.52,4.92,51.13,242.48,84.62,7.11,0.19,77.32,377.26,303.59,73.67,360.14,1506.94,46.32,1460.63,257.75,5.88,625.6
10152.31,2689.94,872.31,1058.54,623.71,131.89,3.48,34.03,263.06,239.64,23.41,631.42,383.22,39.31,104.32,104.58,997.04,341.54,90.23,251.31,1388.44,268.09,1120.35,333.93,5.64,66.48,261.81,85.03,7.6,0.16,77.26,431.57,364.29,67.28,359.84,1659.57,64.48,1595.09,279.91,5.67,651.32
9972.65,2579.47,845.8,1016.77,584.75,127.53,4.62,35.93,238.51,217.2,21.32,667.14,427.41,36.32,95.94,107.46,1024.29,326.09,77.6,248.49,1408.83,274.14,1134.69,329.49,1.82,61.08,266.59,89.58,7.31,0.11,82.17,428.78,361.39,67.4,357.76,1568.91,60.74,1508.17,274.89,5.87,637.1
10581.31,2781.86,1032.23,1000.42,611.95,131.71,5.55,47.58,264.81,242.11,22.7,595.35,345.55,35.64,104.98,109.19,1075.3,302.45,69.93,232.52,1538.56,293.93,1244.63,337.15,1.73,63.76,271.66,98.44,7.83,0.17,90.44,438.88,352.98,85.9,366.44,1769.92,64.3,1705.62,284.09,8.04,672.44
10390.2,2917.82,1004.29,1123.02,659.55,124.75,6.21,80.41,345.94,315.27,30.67,515.37,285.19,31.09,100.92,98.17,1064.8,268.39,66.9,201.49,1417.11,274.9,1142.21,296.8,1.13,56.31,239.35,90.38,7.34,0.24,82.81,396.67,324.21,72.46,348.46,1662.14,52.24,1609.91,322.77,6.57,656.56
9369.68,2328.0,837.91,834.44,534.13,115.7,5.82,98.41,212.96,193.41,19.55,502.87,266.4,28.51,110.94,97.02,991.78,311.16,79.56,231.6,1396.63,259.58,1137.05,286.66,1.16,57.97,227.53,84.83,6.86,0.51,77.47,365.3,293.35,71.95,391.02,1489.27,46.94,1442.34,308.08,12.22,590.5
10552.48,2688.22,934.85,989.46,620.49,137.0,6.43,116.88,247.2,224.47,22.73,607.34,329.24,37.13,131.34,109.63,1091.85,345.29,79.22,266.07,1502.81,286.33,1216.48,331.68,1.4,73.22,257.06,96.57,7.67,-0.08,88.97,473.78,351.29,122.49,401.79,1631.71,46.95,1584.76,340.49,17.39,659.46
10288.03,2632.7,904.48,953.45,630.95,137.37,6.45,98.08,248.6,224.76,23.84,606.99,335.4,37.32,127.11,107.15,1055.01,333.16,70.81,262.35,1484.3,274.39,1209.91,320.72,1.85,57.4,261.46,104.28,7.93,0.18,96.17,418.89,344.3,74.59,359.68,1661.6,57.01,1604.58,305.79,13.08,645.17
11121.77,3029.7,1050.87,1131.87,681.95,158.33,6.69,89.47,263.01,236.72,26.29,657.75,367.0,41.88,137.2,111.67,1071.54,439.14,74.8,364.33,1473.8,269.93,1203.87,327.51,1.69,54.65,271.17,99.55,7.35,0.24,91.96,440.16,364.31,75.85,368.74,1829.12,58.5,1770.62,359.56,12.47,660.26
