전남_합계,전남_종합소매,전남_ 백화점,전남_ 대형마트/유통전문점,전남_ 슈퍼마켓,전남_ 편의점,전남_ 면세점,전남_전자상거래/통신판매,전남_식료품,전남_ 일반식료품,전남_ 건강보조식품,전남_의류/잡화,전남_ 의복/직물,전남_ 복식잡화,전남_ 시계/귀금속/안경,전남_ 화장품,전남_연료,전남_가구/가전,전남_ 가구,전남_ 가전제품/정보통신기기,전남_의료/보건,전남_ 종합병원,전남_ 일반병의원/기타의료기관,전남_자동차,전남_ 국산자동차신품,전남_ 기타운송수단,전남_ 자동차 부품 및 정비,전남_여행/교통,전남_ 여행사/자동차임대,전남_ 항공사,전남_ 대중교통,전남_오락/문화,전남_ 스포츠/오락/여가,전남_ 서적/문구,전남_교육,전남_숙박/음식,전남_ 숙박,전남_ 음식점,전남_공과금/개인 및 전문 서비스,전남_금융/보험,전남_기타
4878.86,863.72,49.59,544.15,230.25,39.55,0.18,8.21,225.58,218.62,6.96,240.6,150.58,14.45,33.57,42.0,953.26,127.56,19.36,108.2,489.65,121.71,367.93,180.72,0.2,6.81,173.71,10.05,2.51,0.01,7.53,269.29,239.2,30.08,123.19,947.49,57.09,890.4,110.6,0.08,328.85
4754.57,981.13,45.46,638.1,254.22,43.31,0.03,8.77,338.97,322.91,16.06,227.03,137.02,13.57,32.41,44.04,883.14,126.08,18.13,107.96,427.0,107.51,319.49,157.94,0.23,6.25,151.45,9.12,2.37,0.0,6.75,253.28,228.73,24.55,118.84,812.33,47.75,764.58,100.21,0.15,310.6
5210.78,923.86,59.48,578.91,234.74,50.67,0.05,10.01,215.01,205.91,9.11,304.1,193.41,19.85,41.32,49.52,1010.47,155.19,24.97,130.22,472.48,120.72,351.76,191.44,0.24,8.91,182.29,8.68,3.19,0.0,5.49,376.41,317.65,58.76,120.1,960.84,54.23,906.61,116.87,0.1,345.23
5084.08,924.57,55.01,562.11,250.11,57.3,0.05,8.85,230.09,221.41,8.68,295.23,189.23,20.47,40.2,45.32,933.32,129.37,21.29,108.08,466.07,119.53,346.54,193.02,0.25,9.91,182.87,10.89,3.45,0.0,7.43,354.19,323.58,30.61,110.5,972.11,57.75,914.35,112.31,0.1,343.45
5793.05,1103.66,65.9,681.61,289.21,66.74,0.19,8.88,283.18,271.59,11.59,342.05,220.72,22.89,47.08,51.37,1011.77,156.51,23.72,132.79,456.56,113.65,342.91,207.41,0.31,12.39,194.71,16.37,4.76,0.0,11.61,417.36,389.44,27.92,112.68,1175.19,71.93,1103.26,132.88,0.14,368.43
5133.55,1044.19,42.73,639.59,293.25,68.39,0.22,9.28,231.8,221.87,9.93,264.29,158.74,20.01,38.3,47.24,923.29,167.86,26.73,141.13,424.68,103.96,320.72,197.74,0.28,11.6,185.85,7.53,2.48,0.0,5.05,332.03,306.12,25.91,114.54,958.29,51.96,906.33,110.82,0.29,346.92
5518.27,1086.81,41.06,671.93,300.64,73.0,0.18,10.32,235.61,225.99,9.62,262.01,152.5,19.96,41.08,48.48,953.25,216.72,27.25,189.47,483.96,119.92,364.04,219.52,0.33,11.76,207.44,11.18,3.82,0.04,7.33,341.78,309.37,32.41,120.97,1090.53,65.43,1025.09,120.51,0.43,364.69
5914.25,1159.87,38.48,702.82,337.14,80.96,0.47,9.69,291.47,282.41,9.06,225.39,122.04,16.98,42.51,43.86,1024.94,201.3,26.73,174.57,480.5,120.85,359.65,203.1,0.25,10.17,192.68,21.68,5.56,0.01,16.11,355.19,325.2,29.99,137.58,1318.91,104.39,1214.52,130.34,0.3,353.98
5492.68,1177.01,50.25,716.36,332.88,77.23,0.29,9.74,397.87,376.41,21.46,270.3,170.05,19.15,35.46,45.65,938.76,148.73,26.39,122.33,451.88,110.65,341.23,189.34,0.3,10.34,178.69,11.68,3.74,0.02,7.92,333.31,298.79,34.52,112.23,984.63,54.19,930.44,112.0,0.38,354.84
5389.31,960.91,63.36,552.46,267.29,77.13,0.67,9.25,231.98,220.71,11.27,317.65,210.01,21.86,36.95,48.83,933.57,155.4,27.39,128.01,493.52,118.07,375.45,208.62,0.2,11.15,197.27,13.76,4.19,0.0,9.57,402.14,375.18,26.95,122.31,1060.07,67.08,992.99,125.23,0.14,354.75
