울산_합계,울산_종합소매,울산_ 백화점,울산_ 대형마트/유통전문점,울산_ 슈퍼마켓,울산_ 편의점,울산_ 면세점,울산_전자상거래/통신판매,울산_식료품,울산_ 일반식료품,울산_ 건강보조식품,울산_의류/잡화,울산_ 의복/직물,울산_ 복식잡화,울산_ 시계/귀금속/안경,울산_ 화장품,울산_연료,울산_가구/가전,울산_ 가구,울산_ 가전제품/정보통신기기,울산_의료/보건,울산_ 종합병원,울산_ 일반병의원/기타의료기관,울산_자동차,울산_ 국산자동차신품,울산_ 기타운송수단,울산_ 자동차 부품 및 정비,울산_여행/교통,울산_ 여행사/자동차임대,울산_ 항공사,울산_ 대중교통,울산_오락/문화,울산_ 스포츠/오락/여가,울산_ 서적/문구,울산_교육,울산_숙박/음식,울산_ 숙박,울산_ 음식점,울산_공과금/개인 및 전문 서비스,울산_금융/보험,울산_기타
4168.95,919.94,217.03,448.36,221.12,33.26,0.18,10.13,152.49,146.47,6.02,184.18,100.85,11.19,32.53,39.61,597.05,102.16,18.05,84.11,512.96,125.82,387.14,138.09,0.83,9.65,127.61,5.92,3.34,0.0,2.58,159.0,132.84,26.15,182.64,798.19,34.41,763.77,142.1,0.4,263.72
3782.0,961.08,218.36,488.43,218.44,35.67,0.18,9.03,163.28,153.41,9.87,169.72,93.88,9.55,29.46,36.82,511.95,101.64,18.23,83.41,424.58,107.85,316.73,123.28,0.11,9.13,114.04,5.55,3.61,0.0,1.94,132.02,109.37,22.65,151.88,674.02,28.67,645.35,110.31,0.5,243.17
4310.72,1007.92,238.93,497.39,227.53,43.81,0.25,10.33,126.69,119.73,6.96,214.4,123.7,12.53,37.51,40.65,625.7,140.25,23.8,116.45,483.96,121.62,362.34,149.88,0.69,14.27,134.93,4.6,2.53,0.0,2.06,192.51,144.34,48.17,182.7,782.58,33.22,749.36,121.69,0.39,267.13
4106.92,979.85,230.69,467.13,233.19,48.72,0.12,10.69,121.08,114.66,6.42,209.69,119.58,12.61,35.44,42.06,563.08,113.76,22.34,91.42,478.93,122.96,355.97,149.96,0.48,14.33,135.15,7.66,5.0,0.0,2.66,168.06,141.75,26.32,164.42,763.11,33.28,729.83,117.69,0.56,258.39
4473.38,1078.69,242.37,525.5,256.36,54.3,0.17,10.14,143.51,135.45,8.06,238.09,136.98,14.47,41.51,45.13,613.6,135.61,23.82,111.79,471.02,120.89,350.13,159.38,0.27,14.01,145.11,5.92,3.98,0.0,1.93,180.7,155.72,24.98,172.11,869.98,37.69,832.29,123.29,0.38,270.96
4212.99,1031.9,204.13,500.02,267.32,60.07,0.36,11.15,132.71,124.77,7.94,195.01,103.34,13.63,36.47,41.56,583.87,131.07,24.46,106.61,444.03,108.42,335.62,156.27,0.49,14.59,141.2,4.73,2.47,0.0,2.26,161.31,137.03,24.27,174.79,795.64,30.81,764.83,126.54,0.49,263.49
4475.13,1070.16,203.32,530.58,271.11,64.83,0.33,12.42,133.24,124.73,8.52,191.66,96.64,12.76,38.87,43.39,607.24,157.69,22.67,135.01,497.86,125.04,372.83,173.29,0.88,15.12,157.3,7.76,4.92,0.01,2.82,168.79,138.95,29.84,189.02,844.92,32.28,812.64,149.25,0.68,271.14
4568.15,1144.42,182.99,615.5,280.09,65.48,0.35,12.66,149.7,142.01,7.69,164.64,74.12,11.85,40.57,38.1,619.29,142.13,24.19,117.94,496.26,131.3,364.96,160.99,0.34,12.37,148.28,4.41,2.72,0.02,1.67,202.33,176.23,26.11,175.69,887.86,40.0,847.85,121.91,0.49,285.38
4381.85,1162.82,220.21,610.55,266.44,65.12,0.5,11.22,180.59,165.22,15.37,185.77,101.09,12.19,32.41,40.09,571.03,105.0,21.83,83.17,477.84,126.8,351.04,153.89,0.92,12.78,140.19,5.88,3.99,0.0,1.88,186.54,157.95,28.59,165.97,762.83,30.42,732.41,125.06,0.64,286.78
4540.14,1105.13,267.37,527.76,243.02,66.65,0.33,12.59,129.38,121.51,7.87,225.98,133.86,14.33,36.08,41.7,574.31,126.5,27.14,99.36,534.34,134.35,399.98,168.92,0.64,13.85,154.43,6.66,4.53,0.0,2.13,213.73,189.81,23.92,186.05,823.31,33.28,790.03,128.5,0.75,303.99
