제주_합계,제주_종합소매,제주_ 백화점,제주_ 대형마트/유통전문점,제주_ 슈퍼마켓,제주_ 편의점,제주_ 면세점,제주_전자상거래/통신판매,제주_식료품,제주_ 일반식료품,제주_ 건강보조식품,제주_의류/잡화,제주_ 의복/직물,제주_ 복식잡화,제주_ 시계/귀금속/안경,제주_ 화장품,제주_연료,제주_가구/가전,제주_ 가구,제주_ 가전제품/정보통신기기,제주_의료/보건,제주_ 종합병원,제주_ 일반병의원/기타의료기관,제주_자동차,제주_ 국산자동차신품,제주_ 기타운송수단,제주_ 자동차 부품 및 정비,제주_여행/교통,제주_ 여행사/자동차임대,제주_ 항공사,제주_ 대중교통,제주_오락/문화,제주_ 스포츠/오락/여가,제주_ 서적/문구,제주_교육,제주_숙박/음식,제주_ 숙박,제주_ 음식점,제주_공과금/개인 및 전문 서비스,제주_금융/보험,제주_기타
3610.8,883.51,9.2,345.53,175.12,66.21,287.46,78.59,164.16,158.22,5.94,173.39,103.26,17.11,15.09,37.93,293.87,78.56,16.78,61.78,199.61,48.96,150.65,73.6,0.09,5.16,68.35,224.22,39.62,179.07,5.53,234.21,217.03,17.18,69.28,806.55,138.75,667.8,80.3,0.41,250.55
3670.23,897.49,7.82,358.6,183.63,65.61,281.83,63.25,152.33,147.58,4.75,171.26,98.65,16.19,16.3,40.12,317.65,81.36,20.52,60.84,213.16,53.62,159.54,82.17,0.27,4.93,76.98,218.76,42.29,171.39,5.08,215.52,193.08,22.45,71.87,837.64,150.13,687.51,83.95,0.79,263.03
3578.0,888.77,6.63,359.83,193.88,67.15,261.28,68.54,163.56,158.6,4.96,143.83,77.77,13.85,14.97,37.24,303.22,89.08,23.96,65.11,218.57,53.19,165.37,75.4,0.19,4.1,71.12,213.07,44.3,163.8,4.97,171.4,151.46,19.94,77.53,837.07,150.57,686.5,85.02,0.84,242.11
3471.52,877.07,6.08,373.86,185.75,62.57,248.8,94.0,160.64,154.74,5.9,141.34,78.38,13.63,15.12,34.21,284.12,80.56,21.83,58.73,191.98,47.76,144.22,66.08,0.13,4.77,61.19,244.6,41.89,197.8,4.91,176.3,157.86,18.43,87.47,757.33,127.07,630.26,79.12,0.64,230.26
3738.34,920.13,6.17,354.44,187.1,69.19,303.23,83.63,166.91,160.44,6.47,161.34,91.03,16.53,18.47,35.3,300.12,87.94,23.21,64.74,232.78,57.24,175.55,80.91,0.16,6.79,73.97,254.29,41.31,206.91,6.06,219.08,183.88,35.21,83.22,800.95,131.8,669.15,86.48,1.01,259.55
3878.9,973.01,8.16,368.03,200.19,75.8,320.83,79.02,180.05,172.24,7.81,160.95,95.18,17.23,18.87,29.67,286.09,87.54,23.36,64.18,231.34,60.03,171.31,81.77,2.8,6.86,72.1,212.28,51.56,153.06,7.66,238.05,216.19,21.86,77.59,879.1,150.55,728.56,90.8,8.52,292.78
4115.68,1034.48,0.01,404.8,207.1,85.37,337.2,94.31,173.47,166.41,7.06,182.06,110.93,20.92,19.71,30.5,297.58,89.07,22.77,66.3,212.65,53.41,159.24,77.6,0.21,6.78,70.61,261.03,58.17,194.05,8.82,272.52,251.04,21.48,73.3,975.92,179.24,796.68,98.1,0.69,272.91
4024.09,1022.22,0.0,388.84,204.95,88.17,340.25,106.08,159.44,153.68,5.77,150.31,86.93,18.34,17.75,27.3,292.42,100.38,22.06,78.32,220.31,54.13,166.18,81.91,0.23,6.65,75.04,279.53,57.03,214.31,8.19,230.92,211.12,19.81,75.24,939.58,178.63,760.94,94.68,0.65,270.41
4378.34,1047.07,0.01,432.36,221.26,98.82,294.62,179.31,143.8,139.52,4.27,143.62,78.04,18.4,18.89,28.29,322.81,133.25,23.96,109.29,233.28,57.32,175.96,89.77,0.05,7.15,82.56,364.71,78.32,277.5,8.89,217.09,194.63,22.46,78.52,1043.88,203.06,840.82,100.43,0.88,279.92
4598.76,1178.25,0.01,445.84,235.61,118.64,378.16,130.22,156.35,151.41,4.94,123.81,58.17,17.57,20.19,27.88,329.09,98.41,24.18,74.22,224.09,55.25,168.83,86.46,0.19,6.66,79.61,341.44,96.16,233.64,11.64,235.8,213.05,22.75,91.96,1229.84,276.43,953.42,100.7,0.78,271.54
4057.24,1055.46,0.0,413.36,220.16,99.94,322.0,124.42,174.8,165.77,9.03,146.43,84.05,18.15,17.32,26.91,289.17,77.39,21.74,55.65,217.3,51.93,165.37,79.58,0.19,6.1,73.28,258.63,57.5,192.92,8.2,214.15,191.71,22.45,86.22,970.29,188.6,781.68,92.32,0.85,270.25
4163.26,1015.38,0.0,383.83,214.49,100.11,316.94,143.36,174.35,167.11,7.24,166.18,101.25,19.16,17.57,28.21,306.01,77.91,23.09,54.83,228.33,51.09,177.24,84.5,0.34,4.86,79.3,261.49,53.3,201.1,7.09,252.67,232.48,20.2,76.95,992.56,179.23,813.33,95.92,0.94,286.7
4120.21,987.43,0.0,358.41,195.58,90.66,342.78,152.22,170.5,163.99,6.51,183.87,122.6,18.25,15.81,27.2,316.17,76.89,18.95,57.95,234.67,51.4,183.26,85.39,0.13,5.6,79.66,293.93,40.54,247.14,6.25,250.74,231.9,18.84,75.39,915.11,166.95,748.16,92.81,0.67,284.42
4206.79,932.26,0.01,368.37,198.65,88.52,276.7,192.7,158.96,153.78,5.18,175.63,111.69,18.8,16.73,28.41,348.61,83.77,22.54,61.23,259.67,58.62,201.06,93.95,0.18,5.28,88.49,322.3,38.67,278.57,5.06,229.53,202.75,26.77,75.17,938.38,164.85,773.53,94.16,0.82,300.89
4305.84,995.35,0.01,421.11,213.4,89.5,271.34,243.68,188.25,180.16,8.09,158.81,99.41,17.13,16.29,25.99,356.49,94.36,27.43,66.93,238.77,53.33,185.43,79.42,0.06,5.0,74.37,366.34,38.9,321.83,5.62,201.05,176.88,24.17,74.74,933.26,156.56,776.7,97.44,1.0,276.86
3867.16,836.42,0.0,314.58,174.8,80.77,266.26,200.22,138.75,133.6,5.15,134.76,76.03,14.89,17.12,26.72,324.65,92.98,26.38,66.61,236.18,49.44,186.73,72.5,0.1,5.09,67.31,352.74,35.86,311.66,5.21,172.42,152.56,19.86,97.76,864.78,152.21,712.57,86.96,1.09,254.95
4296.8,959.13,0.01,370.29,204.44,92.78,291.61,200.44,177.27,169.38,7.89,163.92,96.17,18.41,19.87,29.47,355.56,94.74,26.77,67.97,269.21,55.22,213.99,86.23,0.07,7.63,78.53,339.64,38.83,293.93,6.88,232.14,196.43,35.71,89.63,930.33,148.63,781.69,101.73,1.45,295.38
4395.69,1014.08,0.02,372.96,213.29,96.92,330.89,173.42,199.9,190.02,9.88,171.38,102.32,20.2,19.51,29.34,332.77,89.77,23.45,66.33,262.22,55.45,206.77,83.15,0.12,7.1,75.93,317.5,51.78,257.69,8.03,256.51,234.95,21.56,79.02,1025.08,178.48,846.6,97.79,1.16,291.93
4848.09,1152.14,0.0,419.5,238.29,118.25,376.11,146.2,198.78,189.49,9.29,190.63,116.16,21.85,22.18,30.45,341.44,100.82,22.58,78.25,267.05,54.69,212.36,82.43,0.13,6.53,75.76,414.62,62.88,342.41,9.33,296.9,274.88,22.02,80.16,1187.17,229.58,957.59,106.86,1.05,281.84
4575.44,1089.82,0.05,389.51,236.71,119.46,344.09,144.13,174.05,167.87,6.17,159.66,89.92,20.68,21.18,27.88,309.34,96.52,22.06,74.45,265.27,55.35,209.92,86.65,0.4,7.49,78.76,431.65,53.68,369.66,8.3,250.83,230.61,20.22,81.3,1099.94,204.5,895.45,104.16,1.66,280.47
4940.5,1133.06,0.0,454.07,258.73,136.57,283.69,200.11,153.99,148.79,5.19,159.42,88.51,21.34,20.96,28.61,341.52,149.48,22.86,126.62,278.66,58.29,220.37,90.67,0.25,6.49,83.94,503.73,75.0,419.55,9.19,230.51,206.73,23.78,81.62,1227.94,235.51,992.43,111.75,1.49,276.55
5106.44,1252.78,0.0,457.24,275.85,150.59,369.11,120.14,170.59,165.65,4.95,131.64,62.18,19.88,21.57,28.01,360.91,99.07,19.84,79.23,283.18,61.0,222.18,91.94,0.36,5.92,85.66,438.04,94.94,331.39,11.72,243.79,219.58,24.21,102.12,1421.19,330.39,1090.79,113.56,1.22,276.24
4602.01,1130.51,0.0,428.79,257.84,134.55,309.33,92.27,216.62,207.06,9.56,164.98,96.76,20.18,19.08,28.95,334.36,91.29,25.43,65.86,278.69,57.9,220.79,93.0,0.27,6.86,85.87,348.28,58.01,280.63,9.63,234.88,210.57,24.31,86.78,1127.99,207.18,920.81,108.76,1.29,292.3
4657.19,1139.22,0.0,435.46,259.87,131.31,312.58,114.85,194.95,187.37,7.57,175.24,110.48,20.73,18.09,25.94,330.56,92.52,22.89,69.63,254.9,49.69,205.21,75.8,0.25,4.47,71.09,361.62,65.49,286.25,9.88,272.21,252.93,19.28,78.19,1192.99,232.28,960.71,103.28,0.91,269.96
