충남_합계,충남_종합소매,충남_ 백화점,충남_ 대형마트/유통전문점,충남_ 슈퍼마켓,충남_ 편의점,충남_ 면세점,충남_전자상거래/통신판매,충남_식료품,충남_ 일반식료품,충남_ 건강보조식품,충남_의류/잡화,충남_ 의복/직물,충남_ 복식잡화,충남_ 시계/귀금속/안경,충남_ 화장품,충남_연료,충남_가구/가전,충남_ 가구,충남_ 가전제품/정보통신기기,충남_의료/보건,충남_ 종합병원,충남_ 일반병의원/기타의료기관,충남_자동차,충남_ 국산자동차신품,충남_ 기타운송수단,충남_ 자동차 부품 및 정비,충남_여행/교통,충남_ 여행사/자동차임대,충남_ 항공사,충남_ 대중교통,충남_오락/문화,충남_ 스포츠/오락/여가,충남_ 서적/문구,충남_교육,충남_숙박/음식,충남_ 숙박,충남_ 음식점,충남_공과금/개인 및 전문 서비스,충남_금융/보험,충남_기타
7759.16,1528.77,85.41,915.93,438.54,88.88,0.0,21.46,277.73,248.18,29.55,420.9,215.94,19.69,45.96,139.3,1400.58,208.0,32.02,175.98,637.51,125.61,511.9,257.53,0.13,11.6,245.8,7.73,1.93,0.16,5.63,310.39,266.68,43.72,296.38,1409.63,85.68,1323.96,301.77,0.39,680.39
7405.67,1697.48,90.43,1050.05,464.14,92.87,0.0,20.74,352.64,311.83,40.81,429.13,197.37,17.04,42.29,172.44,1266.87,198.84,31.61,167.23,534.81,107.3,427.51,217.54,0.09,9.48,207.98,7.32,1.72,0.11,5.49,277.96,239.73,38.23,284.37,1212.95,67.73,1145.22,264.01,0.51,640.51
8460.91,1684.25,108.4,996.32,462.58,116.95,0.0,23.73,280.13,249.21,30.91,515.42,252.72,24.35,56.77,181.59,1531.53,256.31,38.4,217.91,628.26,127.58,500.68,285.12,0.17,18.49,266.46,8.45,2.7,0.02,5.73,429.18,348.13,81.04,329.82,1448.7,73.55,1375.14,323.56,0.86,715.61
8265.95,1685.61,99.74,978.95,475.85,131.08,0.0,23.27,303.13,268.1,35.03,515.02,248.4,24.13,52.32,190.17,1417.64,211.48,34.22,177.26,623.24,128.92,494.32,289.32,0.12,18.42,270.79,11.24,2.95,0.0,8.28,407.88,360.19,47.69,280.72,1458.14,73.34,1384.8,310.74,0.81,727.71
9247.75,1967.43,111.98,1142.46,561.7,151.29,0.0,22.98,367.08,328.1,38.98,587.48,297.83,28.24,63.12,198.28,1547.41,245.8,33.09,212.71,622.31,126.1,496.21,317.59,0.13,21.45,296.01,10.25,2.91,0.0,7.34,482.03,435.6,46.43,296.71,1697.49,98.24,1599.26,303.71,0.53,778.95
8212.67,1866.54,79.45,1063.22,563.5,160.36,0.0,20.71,285.18,250.28,34.9,458.65,203.34,24.8,51.99,178.53,1404.23,248.47,31.21,217.26,532.75,92.89,439.85,300.21,0.21,19.11,280.89,8.66,2.17,0.0,6.49,373.07,332.14,40.93,277.57,1416.24,68.83,1347.41,293.94,0.53,725.93
8959.01,1929.92,87.18,1118.73,555.54,168.46,0.0,23.3,294.18,255.96,38.21,471.69,202.01,25.56,56.27,187.85,1487.13,301.16,32.72,268.44,638.15,121.54,516.61,328.48,0.7,19.72,308.07,9.92,2.33,0.03,7.56,389.08,341.33,47.74,293.76,1633.15,105.4,1527.76,361.0,0.84,797.24
8796.41,1912.43,87.29,1083.57,572.45,168.92,0.2,23.29,313.27,279.41,33.86,407.88,161.5,23.83,55.68,166.87,1439.89,277.24,37.06,240.18,608.01,122.71,485.3,291.66,0.32,17.33,274.01,11.13,2.62,0.0,8.51,380.76,334.33,46.44,329.63,1735.29,144.51,1590.78,327.33,0.76,737.84
8503.83,1941.66,99.61,1093.08,580.06,168.84,0.07,24.57,441.36,380.78,60.58,475.32,221.89,25.51,46.32,181.61,1364.04,211.87,35.92,175.95,579.09,115.75,463.34,268.84,0.32,15.29,253.23,21.56,3.03,0.01,18.52,371.54,316.57,54.97,289.2,1418.51,68.35,1350.17,346.65,0.51,749.12
8566.2,1695.35,125.6,916.08,486.7,166.87,0.1,23.68,329.26,290.54,38.72,527.21,275.65,27.01,48.58,175.96,1368.79,244.71,41.0,203.71,647.47,124.6,522.87,298.89,0.37,15.96,282.56,22.4,3.25,0.0,19.16,424.11,379.67,44.45,317.91,1487.96,76.01,1411.95,388.13,0.44,789.88
